frame,recurrent_mean_mm,teacher_forced_mean_mm,valid_points
2,1.2950615752753691,1.2950612814261742,1871
3,1.9300894714657235,1.3782491069764813,1839
4,2.713742764284932,3.906780290863332,1806
5,3.946203882459254,2.819808806608537,1780
6,5.135652922668599,4.591796440806872,1756
7,6.755430787757755,4.8063823621316,1744
8,8.590502554832069,5.807721293483614,1736
9,10.85739315810419,7.503351430769412,1733
10,13.36577216419954,7.5333867364852924,1713
11,16.105504518483915,8.250888110832966,1709
12,19.14777773513343,8.47245353823678,1710
13,22.384088586601347,8.639796344987793,1685
14,25.638492712501293,9.347516067333084,1670
15,29.197605132428528,9.224784269966646,1682
16,32.61854574288847,9.908653624451924,1682
17,36.03231800018669,9.19091481995471,1670
18,39.32985135193068,9.641009508884357,1659
19,42.98456114276128,8.9275844105694,1646
20,46.326875544624,9.840358369952229,1630
21,49.565059194961236,10.48471401908846,1602
22,52.99062303275548,10.978697240181967,1604
23,56.283062998453204,10.436091772292988,1613
24,59.48785284267544,8.959539531025795,1594
25,63.05061526140321,10.0946844564056,1609
26,66.27184185419566,9.26381057745096,1600
27,69.70206966641257,9.00609543028219,1582
28,73.27179043407739,9.915553203549976,1551
29,77.2354540521043,11.18181442332622,1557
30,80.69880611277469,14.012259199496668,1542
31,84.55690342800892,11.285896591784805,1536
32,87.96998611919626,13.855234025679675,1538
33,91.45784912071697,11.906722364583011,1528
34,94.86834907337993,10.542878920541066,1539
35,99.10270500262364,11.281139369217597,1519
36,104.58984583576303,12.131026466484007,1526
37,109.12994284100463,11.730385421672151,1525
38,113.97247727369475,10.03271910536463,1493
39,119.92321967196062,12.948465560244315,1470
40,124.23767183937429,15.629351282943738,1489
41,129.6635415891707,11.754086122342189,1453
42,135.770815494606,14.090692643021985,1459
43,141.95025562793617,14.623666126098556,1455
44,148.52332517248712,14.37891873980357,1446
45,153.93089007643113,14.86230458352944,1432
46,160.84540768395783,13.631720574012629,1432
47,168.82087917211663,16.955460572361414,1427
48,176.6462133115887,17.46506246586632,1447
49,183.37639109132908,14.971975371877555,1428
50,191.93785586051249,14.819167521706866,1418
51,197.5176116911257,14.705796584295605,1406
52,205.93830467316465,18.968644131484247,1412
53,213.5485192611739,16.274827477010145,1395
54,220.46920535100156,16.67313026582784,1406
55,227.5845246100161,16.405939069819464,1357
56,235.7954265059945,19.60508544230244,1350
57,242.38080794001604,20.978983230399706,1356
58,249.22995468023146,21.065216606956483,1371
59,255.01897501914783,15.633283376971452,1359
60,259.7721166087368,16.80397856975846,1374
61,264.23308276836366,17.338282601989885,1362
62,268.27634739071726,14.118449246180553,1336
63,273.28445291541215,15.6410801756115,1348
64,275.4281509657801,17.727636703323224,1342
65,278.9152742509273,15.23049684123734,1338
66,281.0060136239798,12.676166873428318,1344
67,nan,nan,0
