alpha,horizon,particle_mean,persistence_mean,persistence_ratio,metric_mean_mm,outside_fraction,final_step_mean,valid_points
0.25,4,0.01777338792729935,0.016073959113578118,1.1057255901743384,8.01087770786272,0.0,0.001766828142189475,39884
0.25,8,0.0351921110495024,0.03275951279315954,1.0742562403690816,15.785601624304066,0.0,0.0017025069435196048,38836
0.25,16,0.07070520170768223,0.06823485134693542,1.0362036453803714,31.580115813875377,0.0,0.0016930518304650404,37048
0.5,4,0.01738753311374149,0.016073959113578118,1.081720625944218,7.83302937954195,0.0,0.0016448560539117825,39884
0.5,8,0.034363331786389575,0.03275951279315954,1.0489573518188868,15.404858320524793,0.0,0.0016583903652470713,38836
0.5,16,0.06981490580419361,0.06823485134693542,1.0231561207516158,31.17666268189096,0.0,0.001690949299466247,37048
0.75,4,0.01709783970323325,0.016073959113578118,1.0636980959339526,7.700429877550047,0.0,0.0016034210087506754,39884
0.75,8,0.03403760058612924,0.03275951279315954,1.039014249114125,15.256999560273728,0.0,0.0016592560921703484,38836
0.75,16,0.06957796939993183,0.06823485134693542,1.0196837543642825,31.07174945891843,0.0,0.001689271380772114,37048
1.0,4,0.01692639438788686,0.016073959113578118,1.053032066853316,7.623001662602385,0.0,0.0015992082677099367,39884
1.0,8,0.03388555482826465,0.03275951279315954,1.0343729786891163,15.188932148702285,0.0,0.001658098152693323,38836
1.0,16,0.06945520826046062,0.06823485134693542,1.0178846570254894,31.017930724918905,0.0,0.0016917635074729564,37048
