alpha,horizon,particle_mean,persistence_mean,persistence_ratio,metric_mean_mm,outside_fraction,final_step_mean,valid_points
0.25,32,0.07278393453203867,0.06359610478272064,1.144471580149582,32.06654682295339,0.0,0.002722203023643222,842
0.25,64,0.1511957491713128,0.07455597610130482,2.0279494291091,66.61257536514945,0.0,0.004490621086360811,1334
0.25,128,0.4299326942080543,0.07514444986979167,5.721416484557813,189.41619509742375,0.0,0.004450945059458414,840
0.25,192,0.688488600992357,0.01079513429419764,63.777678186219326,303.32863511104944,0.0019723865877712033,0.004723210933567426,1521
0.5,32,0.0733076399125849,0.06359610478272064,1.1527064458278415,32.297274845512916,0.0,0.0026700054947950496,842
0.5,64,0.14867477760143366,0.07455597610130482,1.9941362902876898,65.50190938466314,0.0,0.004282106345203863,1334
0.5,128,0.4379759288969494,0.07514444986979167,5.8284534607128355,192.9598308744885,0.0,0.00456575041725522,840
0.5,192,0.7325722758978468,0.01079513429419764,67.86133974188749,322.7506558570636,0.0019723865877712033,0.0034562787439069175,1521
0.75,32,0.07337029699475069,0.06359610478272064,1.1536916804169701,32.324881564976195,0.0,0.00266572698561426,842
0.75,64,0.14813408572813203,0.07455597610130482,1.98688413021179,65.2636938366754,0.0,0.004268386017257484,1334
0.75,128,0.4438606988816034,0.07514444986979167,5.906766230250052,195.55248078845796,0.0,0.004997790427435012,840
0.75,192,0.7671897632365631,0.01079513429419764,71.06810738324263,338.0021415675337,0.0026298487836949377,0.005236213102221567,1521
1.0,32,0.07340588422399236,0.06359610478272064,1.1542512623184602,32.340559427075604,0.0,0.0026659761641767417,842
1.0,64,0.14771379416492925,0.07455597610130482,1.9812468683156852,65.07852374166922,0.0,0.004274078752326107,1334
1.0,128,0.4447875249953497,0.07514444986979167,5.919100156645844,195.9608168829055,0.0,0.00511463823772612,840
1.0,192,0.778978256235618,0.01079513429419764,72.16012649831666,343.19582806849934,0.0026298487836949377,0.004920491727067796,1521
