split,scene,family,action,pc1,pc2,latent_norm
train,double_lift_cloth_1,cloth,double_lift,-4.130761623382568,1.8421469926834106,10.548810958862305
train,double_lift_cloth_3,cloth,double_lift,-4.759922504425049,1.8520594835281372,10.777969360351562
train,double_lift_zebra,zebra,double_lift,4.110516548156738,0.5877670049667358,10.262065887451172
train,double_stretch_sloth,sloth,double_stretch,4.84360933303833,1.9550501108169556,10.79808235168457
train,rope_double_hand,rope,double_hand,0.21416927874088287,-5.553813457489014,10.598149299621582
train,single_clift_cloth_1,cloth,single_clift,-4.164276123046875,1.9271386861801147,10.488373756408691
train,single_clift_cloth_3,cloth,single_clift,-4.7586445808410645,1.7164220809936523,10.79102611541748
train,single_lift_cloth,cloth,single_lift,-2.339354991912842,1.086121916770935,10.430919647216797
train,single_lift_cloth_1,cloth,single_lift,-3.4619643688201904,1.4457051753997803,10.273446083068848
train,single_lift_dinosor,dinosor,single_lift,3.6225457191467285,1.5831130743026733,10.496039390563965
train,single_lift_rope,rope,single_lift,0.2133728563785553,-6.129420280456543,10.826011657714844
train,single_lift_sloth,sloth,single_lift,4.865326404571533,2.2579505443573,10.788278579711914
train,single_lift_zebra,zebra,single_lift,4.236429214477539,1.0488570928573608,10.286646842956543
train,single_push_rope,rope,single_push,0.02837171033024788,-5.741220951080322,10.466766357421875
train,single_push_rope_4,rope,single_push,-1.28396737575531,-2.33105731010437,10.049139976501465
train,weird_package,package,other,-1.9627013206481934,0.11050204932689667,10.79830265045166
val,double_lift_sloth,sloth,double_lift,4.534388065338135,1.9726130962371826,10.674821853637695
val,single_lift_cloth_3,cloth,single_lift,-4.45210075378418,1.8763447999954224,10.67513370513916
val,single_push_rope_1,rope,single_push,-0.06962880492210388,-5.639034271240234,10.510878562927246
test,double_stretch_zebra,zebra,double_stretch,3.669556140899658,0.11618265509605408,10.052107810974121
test,single_lift_cloth_4,cloth,single_lift,-3.9204113483428955,1.6155587434768677,10.584851264953613
test,single_push_sloth,sloth,single_push,4.965461254119873,2.4010374546051025,10.789937019348145
